# Simple Text Format
# Sampling Rate (Hz):= 2000.0
# Resolution:= 12
# Units:= Volts
# Labels:= PCG	ECG
1.39817	2.04183
1.40059	2.03861
1.39736	2.03458
1.40059	2.03297
1.39817	2.03297
1.39736	2.02733
1.39495	2.02088
1.39656	2.02007
1.39978	2.01443
1.39817	2.00960
1.39897	2.00718
1.40059	2.00718
1.39817	2.00476
1.39978	2.00154
1.39656	2.00315
1.39736	1.99912
1.39656	1.99832
1.39656	1.99832
1.39656	1.99993
1.39333	2.00315
1.39414	2.00476
1.39253	2.00718
1.39253	2.00879
1.39495	2.01282
1.39253	2.01604
1.39333	2.02007
1.39414	2.02733
1.39253	2.03216
1.39495	2.03297
1.39253	2.03700
1.39172	2.04344
1.39092	2.04425
1.38930	2.04022
1.39092	2.05070
1.38769	2.05311
1.38527	2.05392
1.38527	2.05714
1.38527	2.05795
1.38769	2.05311
1.38527	2.05070
1.38447	2.04828
1.38689	2.04505
1.38769	2.04344
1.38527	2.03700
1.38366	2.03297
1.38366	2.02894
1.38366	2.02410
1.38447	2.01927
1.38689	2.01524
1.38286	2.00879
1.38286	2.00396
1.38125	2.00637
1.38044	1.99670
1.37963	1.99429
1.37963	1.99429
1.37963	1.98542
1.37963	1.98542
1.37963	1.98542
1.38205	1.98139
1.37963	1.98139
1.38044	1.98059
1.38125	1.98139
1.38125	1.97897
1.38125	1.97897
1.38044	1.98059
1.38044	1.98059
1.38044	1.98059
1.38044	1.97656
1.38125	1.97897
1.38044	1.97897
1.38286	1.97575
1.38205	1.97333
1.38205	1.97253
1.38527	1.96689
1.38366	1.96527
1.38125	1.95883
1.38125	1.95560
1.38205	1.95077
1.38447	1.94271
1.38205	1.93465
1.38205	1.92740
1.38205	1.92015
1.38366	1.91289
1.38689	1.90403
1.38447	1.89516
1.38447	1.88711
1.38447	1.87744
1.38689	1.86696
1.38769	1.85971
1.38689	1.85245
1.38850	1.84359
1.39011	1.83392
1.39092	1.82747
1.39253	1.82183
1.39253	1.81538
1.39253	1.80974
1.39092	1.80571
1.39172	1.80088
1.39253	1.80007
1.39172	1.79604
1.39011	1.79201
1.39011	1.79201
1.38850	1.78637
1.39172	1.78557
1.38850	1.78637
1.39011	1.78557
1.39011	1.78557
1.38689	1.78073
1.39253	1.78073
1.39253	1.78396
1.39011	1.78396
1.39172	1.78315
1.39092	1.78234
1.39172	1.77912
1.38850	1.77751
1.38850	1.77590
1.38930	1.77267
1.38689	1.76945
1.38850	1.76623
1.38527	1.76300
1.38366	1.75172
1.38205	1.74850
1.38044	1.74608
1.38366	1.73722
1.38125	1.73158
1.38286	1.72593
1.38527	1.72110
1.38769	1.71465
1.39253	1.71062
1.39172	1.70659
1.39253	1.70095
1.39092	1.69692
1.39011	1.69370
1.39172	1.68886
1.38769	1.68564
1.38689	1.68484
1.38527	1.67919
1.38286	1.68000
1.38447	1.67758
1.38205	1.67597
1.38125	1.67839
1.37963	1.67919
1.38044	1.68081
1.38205	1.68242
1.38125	1.68484
1.38125	1.68564
1.38125	1.68725
1.38205	1.68886
1.38689	1.69370
1.38366	1.69692
1.38447	1.69370
1.38447	1.69692
1.38366	1.69773
1.38689	1.69773
1.38366	1.69773
1.38205	1.69612
1.38205	1.69692
1.38447	1.69209
1.38689	1.69370
1.38769	1.69048
1.38769	1.68967
1.39011	1.68403
1.39172	1.68000
1.39333	1.67436
1.39414	1.67436
1.39495	1.67194
1.39656	1.66711
1.39656	1.66469
1.40139	1.65744
1.39817	1.65824
1.40139	1.65824
1.40059	1.65421
1.40059	1.65099
1.40542	1.64696
1.40542	1.64857
1.40542	1.64777
1.40703	1.64777
1.40784	1.64696
1.41187	1.64696
1.40784	1.65179
1.41106	1.65099
1.41590	1.65663
1.41832	1.65824
1.42315	1.66308
1.42718	1.66469
1.43121	1.66952
1.43121	1.67114
1.43846	1.67436
1.44410	1.67919
1.45136	1.68242
1.46425	1.68725
1.48117	1.68725
1.49648	1.69209
1.51663	1.69289
1.53275	1.69370
1.54484	1.69370
1.55289	1.69289
1.56015	1.69048
1.56095	1.68725
1.55289	1.68564
1.53033	1.68242
1.49165	1.67839
1.44571	1.67355
1.39011	1.67114
1.32564	1.66630
1.26198	1.66147
1.20154	1.65824
1.15883	1.65663
1.12740	1.64696
1.11128	1.64535
1.10886	1.64051
1.11773	1.63568
1.13868	1.63165
1.16930	1.63084
1.20073	1.62762
1.24828	1.62520
1.29099	1.62440
1.33209	1.62601
1.37480	1.62440
1.40542	1.62923
1.44007	1.63004
1.46264	1.63326
1.48520	1.63407
1.50132	1.63568
1.51018	1.64454
1.51341	1.64615
1.51018	1.64696
1.50454	1.65502
1.48681	1.65663
1.48037	1.66066
1.46667	1.66791
1.45538	1.66711
1.44491	1.66791
1.44007	1.67033
1.43363	1.67194
1.43121	1.67194
1.42960	1.67114
1.42718	1.67194
1.42234	1.66952
1.41026	1.66872
1.40462	1.66308
1.39333	1.65985
1.38527	1.65744
1.37963	1.65341
1.37722	1.64777
1.37722	1.64615
1.37802	1.64374
1.37963	1.63810
1.38689	1.63084
1.38850	1.62762
1.39172	1.62601
1.39333	1.62278
1.39414	1.62117
1.39978	1.62037
1.39817	1.62037
1.39817	1.62037
1.40462	1.62037
1.40300	1.62037
1.40542	1.62278
1.40784	1.62117
1.41348	1.62278
1.41106	1.62842
1.41670	1.63326
1.41993	1.63568
1.42234	1.63810
1.42396	1.64454
1.42476	1.64696
1.42718	1.65018
1.42879	1.65744
1.42637	1.65824
1.42879	1.66147
1.42637	1.66469
1.42637	1.66711
1.42396	1.66630
1.41751	1.66791
1.41106	1.66711
1.40703	1.67033
1.40059	1.66952
1.39414	1.66469
1.38447	1.66308
1.37963	1.65905
1.36996	1.65905
1.36432	1.65663
1.36271	1.64938
1.35546	1.64696
1.35626	1.64615
1.35465	1.64374
1.35626	1.63810
1.36352	1.63487
1.36432	1.63245
1.36835	1.62842
1.37238	1.62762
1.37480	1.62520
1.37802	1.62278
1.37641	1.62278
1.37722	1.62359
1.37480	1.62440
1.37158	1.62440
1.37158	1.62762
1.36755	1.63084
1.36835	1.63245
1.36916	1.63407
1.36916	1.63729
1.37077	1.64132
1.37399	1.64535
1.37319	1.64615
1.37399	1.65018
1.37399	1.65421
1.37722	1.65744
1.37560	1.65985
1.37399	1.66308
1.37641	1.66791
1.37722	1.66791
1.37722	1.66791
1.37641	1.67033
1.37722	1.66952
1.37883	1.66952
1.37883	1.66791
1.37883	1.66872
1.37802	1.66469
1.37963	1.66469
1.37963	1.66147
1.37963	1.65905
1.38044	1.65502
1.37963	1.65341
1.37963	1.65018
1.38125	1.64615
1.38125	1.64615
1.38286	1.64293
1.38044	1.64051
1.38286	1.63729
1.38286	1.63568
1.38286	1.63245
1.38447	1.63245
1.38366	1.63245
1.38205	1.63245
1.38205	1.63084
1.38125	1.63326
1.38366	1.63245
1.38205	1.63568
1.38044	1.63487
1.38044	1.64051
1.37963	1.64212
1.38044	1.64615
1.37963	1.64857
1.37883	1.65018
1.37963	1.65179
1.37802	1.65824
1.37963	1.66066
1.37883	1.66469
1.37963	1.66630
1.37963	1.67194
1.37963	1.67114
1.37963	1.67114
1.37963	1.67275
1.38044	1.67194
1.38205	1.67275
1.38447	1.67194
1.39011	1.66952
1.38769	1.66711
1.39011	1.66791
1.38850	1.66630
1.39011	1.65985
1.39253	1.65905
1.39092	1.65663
1.38850	1.65260
1.38850	1.64777
1.38930	1.64615
1.39092	1.64535
1.38850	1.64132
1.38850	1.63810
1.38527	1.63568
1.38850	1.63568
1.38850	1.63245
1.38769	1.63084
1.38850	1.63165
1.38689	1.63326
1.38850	1.63245
1.39172	1.63165
1.39092	1.63729
1.39011	1.63729
1.39172	1.63810
1.39253	1.64374
1.39253	1.64374
1.39172	1.64696
1.39092	1.65099
1.39092	1.65502
1.39092	1.65744
1.39253	1.65824
1.39011	1.66066
1.39172	1.66388
1.39172	1.66630
1.39092	1.66952
1.39172	1.66791
1.38930	1.67114
1.39172	1.66952
1.39092	1.66952
1.39172	1.66791
1.39253	1.66388
1.39253	1.66469
1.39172	1.66147
1.39253	1.65824
1.39333	1.65824
1.39333	1.65341
1.39333	1.65099
1.39414	1.64615
1.39253	1.64615
1.39253	1.64212
1.39495	1.63729
1.39414	1.63568
1.39253	1.63407
1.39253	1.63165
1.39253	1.63084
1.39333	1.62923
1.39253	1.62762
1.39253	1.63004
1.39253	1.62923
1.39253	1.62923
1.39495	1.63084
1.39333	1.63326
1.39414	1.63326
1.39414	1.63648
1.39495	1.63890
1.39656	1.64374
1.39656	1.64615
1.39495	1.64615
1.39495	1.65099
1.39333	1.65663
1.39495	1.65663
1.39172	1.65905
1.39172	1.66227
1.38850	1.66388
1.38850	1.66388
1.39092	1.66711
1.38689	1.66952
1.38527	1.66711
1.38527	1.66791
1.38527	1.66549
1.38689	1.66388
1.38366	1.66308
1.38608	1.66227
1.38527	1.65824
1.38769	1.65744
1.38527	1.65099
1.38205	1.64938
1.38366	1.64777
1.38205	1.64615
1.38125	1.64374
1.38447	1.64051
1.38044	1.63487
1.38125	1.63407
1.38044	1.63245
1.37963	1.63245
1.38205	1.62842
1.38044	1.63084
1.38044	1.62923
1.38125	1.63165
1.38125	1.63165
1.38366	1.63165
1.38447	1.63326
1.38044	1.63326
1.38205	1.63729
1.38286	1.64051
1.38527	1.64374
1.38769	1.64615
1.38447	1.65099
1.38447	1.65502
1.38608	1.65099
1.38447	1.65341
1.38850	1.65985
1.39011	1.65985
1.38850	1.66308
1.39011	1.66388
1.39092	1.66388
1.38850	1.66711
1.38850	1.66711
1.38850	1.66388
1.38689	1.66711
1.39253	1.66066
1.39172	1.65985
1.39172	1.65905
1.39333	1.65582
1.39253	1.65502
1.39495	1.64777
1.39092	1.64615
1.39253	1.64535
1.39414	1.64132
1.40059	1.63729
1.39817	1.63326
1.39333	1.63084
1.39495	1.62923
1.39575	1.62601
1.39333	1.62440
1.39333	1.62359
1.39253	1.62198
1.39495	1.62117
1.39736	1.62117
1.39736	1.62440
1.40139	1.62278
1.40220	1.62842
1.40139	1.62923
1.40139	1.63245
1.40300	1.63407
1.40381	1.63487
1.40139	1.64051
1.39978	1.64374
1.39978	1.64615
1.39817	1.65018
1.40139	1.65179
1.39978	1.65582
1.39817	1.65421
1.39817	1.65905
1.39817	1.66227
1.39817	1.66066
1.39575	1.66227
1.39414	1.66147
1.39333	1.66227
1.39253	1.66147
1.39172	1.66066
1.39011	1.65905
1.39011	1.65905
1.38930	1.65663
1.38930	1.65421
1.39253	1.64696
1.39011	1.65018
1.39011	1.64535
1.39172	1.64212
1.39172	1.64454
1.39011	1.63568
1.38608	1.63568
1.38447	1.63326
1.38527	1.63084
1.38366	1.63165
1.38608	1.62842
1.38205	1.62923
1.38447	1.62762
1.38447	1.62923
1.38447	1.63084
1.38689	1.63004
1.38286	1.63326
1.38366	1.63568
1.38205	1.63810
1.38366	1.63810
1.38205	1.64212
1.38125	1.64615
1.38205	1.64615
1.38366	1.65018
1.38366	1.65582
1.38769	1.65582
1.38447	1.65985
1.38527	1.66066
1.38527	1.66147
1.38689	1.66630
1.38850	1.66388
1.38930	1.66469
1.38689	1.66630
1.38689	1.66388
1.38850	1.66469
1.39172	1.66308
1.39092	1.66147
1.39011	1.66066
1.39092	1.65824
1.39253	1.65824
1.39333	1.65018
1.39253	1.65018
1.39414	1.64615
1.39253	1.64374
1.39495	1.64212
1.39495	1.63568
1.39333	1.63568
1.39414	1.63568
1.39253	1.63245
1.39253	1.62923
1.39253	1.63084
1.39253	1.63245
1.39333	1.62842
1.39333	1.63004
1.39333	1.63165
1.39495	1.62923
1.39414	1.63487
1.39333	1.63568
1.39333	1.63648
1.39253	1.64051
1.39333	1.64374
1.39253	1.64615
1.39333	1.64696
1.39333	1.65099
1.39414	1.65421
1.39495	1.65663
1.39495	1.65824
1.39495	1.66147
1.39495	1.66388
1.39333	1.66791
1.39495	1.66630
1.39575	1.66630
1.39656	1.66872
1.39575	1.66791
1.39656	1.66630
1.39575	1.66469
1.39575	1.66227
1.39495	1.66147
1.39656	1.65905
1.39333	1.65905
1.39414	1.65502
1.39333	1.65502
1.39333	1.65018
1.39495	1.64696
1.39656	1.64535
1.39817	1.64374
1.39817	1.64212
1.39978	1.63890
1.40139	1.63487
1.39817	1.63487
1.40059	1.63407
1.40059	1.63568
1.39897	1.63407
1.39817	1.63568
1.39736	1.63487
1.39736	1.63648
1.39978	1.63729
1.39817	1.63890
1.39736	1.64454
1.39495	1.64535
1.39575	1.64615
1.39575	1.64938
1.39736	1.65341
1.39656	1.65582
1.39656	1.65985
1.39817	1.66066
1.39736	1.66791
1.39495	1.66630
1.39656	1.66952
1.39414	1.67275
1.39333	1.67597
1.39253	1.67194
1.39172	1.67275
1.39172	1.67436
1.39092	1.67436
1.39253	1.67194
1.38850	1.67194
1.38769	1.67194
1.38850	1.66630
1.38527	1.66308
1.39172	1.65985
1.39253	1.65905
1.39253	1.65502
1.39495	1.65099
1.39575	1.64696
1.39736	1.64615
1.39656	1.64615
1.39575	1.64212
1.39656	1.64132
1.39495	1.63729
1.40059	1.63648
1.39656	1.63729
1.39656	1.63729
1.39817	1.63810
1.39978	1.63648
1.40300	1.63810
1.40139	1.63971
1.40139	1.64374
1.40300	1.64615
1.40139	1.64696
1.40542	1.64857
1.40462	1.65179
1.40300	1.65985
1.40462	1.66147
1.40300	1.66630
1.40462	1.67033
1.40300	1.67194
1.40300	1.67194
1.40139	1.67355
1.39978	1.67919
1.40139	1.67758
1.39736	1.68081
1.39817	1.68161
1.39817	1.68242
1.39656	1.68000
1.39495	1.67919
1.39495	1.67597
1.39333	1.67678
1.39253	1.67355
1.39253	1.67194
1.39172	1.67194
1.38850	1.66872
1.38850	1.66469
1.38769	1.66066
1.38769	1.65744
1.39011	1.65744
1.38769	1.65582
1.38930	1.65421
1.39011	1.65179
1.39172	1.64857
1.39172	1.64938
1.39253	1.64857
1.39172	1.64777
1.39253	1.64696
1.39333	1.64777
1.39414	1.64857
1.39253	1.65421
1.39253	1.65582
1.39253	1.65502
1.39172	1.65905
1.39414	1.66066
1.39172	1.66630
1.39253	1.66872
1.39333	1.67114
1.39253	1.67275
1.39253	1.67597
1.39253	1.68000
1.39172	1.68403
1.39172	1.68484
1.39253	1.68725
1.39253	1.68725
1.39253	1.69048
1.39253	1.69209
1.39253	1.69289
1.39253	1.69209
1.39253	1.68725
1.39253	1.68886
1.39253	1.68645
1.39333	1.68242
1.39253	1.68403
1.39253	1.67919
1.39333	1.67597
1.39253	1.67355
1.39172	1.67194
1.39253	1.66952
1.39333	1.66711
1.39253	1.66388
1.39011	1.66308
1.39011	1.66147
1.38769	1.65985
1.38850	1.65824
1.38850	1.65824
1.38850	1.65905
1.38850	1.65824
1.39011	1.65905
1.39253	1.65824
1.39092	1.65905
1.39172	1.66066
1.39092	1.65905
1.38930	1.66308
1.39253	1.66630
1.39011	1.66952
1.39172	1.67275
1.39333	1.67275
1.39333	1.67597
1.39978	1.67516
1.39736	1.68322
1.39817	1.68242
1.39656	1.68564
1.39656	1.68484
1.39736	1.68564
1.39575	1.68564
1.39414	1.68645
1.39333	1.68806
1.39414	1.68645
1.39656	1.68484
1.39495	1.68484
1.39414	1.68242
1.39575	1.68242
1.39414	1.67919
1.39495	1.67597
1.39414	1.67355
1.39414	1.67194
1.39253	1.66791
1.39253	1.66952
1.39656	1.66469
1.39253	1.66388
1.39092	1.66227
1.39011	1.66147
1.39011	1.65985
1.39092	1.65985
1.38527	1.66147
1.38527	1.66066
1.38689	1.66066
1.38527	1.66227
1.39092	1.66308
1.38850	1.66630
1.38850	1.66952
1.39011	1.67194
1.38527	1.67275
1.38689	1.67516
1.38527	1.68081
1.38447	1.68403
1.38527	1.68484
1.38689	1.68967
1.38850	1.69289
1.38850	1.69612
1.39011	1.69773
1.39011	1.69773
1.39092	1.69853
1.39092	1.70015
1.39011	1.70176
1.39092	1.70095
1.39092	1.70337
1.39253	1.70176
1.39253	1.70095
1.39253	1.69934
1.39172	1.69773
1.39011	1.69773
1.38930	1.69773
1.39092	1.69289
1.39011	1.69048
1.38689	1.68725
1.39092	1.68564
1.39092	1.68725
1.39333	1.68161
1.39253	1.68322
1.39172	1.68161
1.39092	1.67678
1.39011	1.68081
1.38930	1.68000
1.38527	1.68000
1.38366	1.68403
1.38366	1.68403
1.38205	1.68564
1.38850	1.68725
1.38769	1.69289
1.38527	1.69692
1.38769	1.69773
1.39092	1.70256
1.39172	1.70498
1.39011	1.70982
1.39253	1.71304
1.39172	1.72110
1.39172	1.72190
1.39414	1.72513
1.39495	1.72916
1.39253	1.73641
1.39495	1.74044
1.39333	1.74205
1.39253	1.73883
1.39495	1.74689
1.39736	1.74608
1.39656	1.74689
1.39575	1.74689
1.39817	1.74125
1.39333	1.74447
1.39172	1.73883
1.39092	1.73802
1.39011	1.73319
1.39092	1.72916
1.38850	1.72593
1.38930	1.72593
1.38930	1.72352
1.39011	1.71949
1.39253	1.71465
1.39011	1.71143
1.38930	1.70982
1.38930	1.70498
1.38769	1.70337
1.38850	1.69934
1.38527	1.69934
1.38689	1.69773
1.38527	1.69692
1.38850	1.69773
1.38850	1.69773
1.38366	1.69773
1.38366	1.69773
1.38205	1.69853
1.38286	1.70176
1.38286	1.70498
1.38205	1.70821
1.38044	1.71062
1.38125	1.71143
1.38205	1.71546
1.38527	1.71788
1.38447	1.72110
1.38447	1.72352
1.38447	1.72352
1.38366	1.72513
1.38527	1.72593
1.38527	1.72996
1.38205	1.72755
1.38125	1.72755
1.38125	1.72755
1.38366	1.72513
1.38447	1.72352
1.38447	1.72352
1.38527	1.72190
1.38527	1.71868
1.38527	1.71143
1.38527	1.71062
1.38850	1.70821
1.38850	1.70498
1.38689	1.70095
1.39172	1.69773
1.39011	1.69692
1.39011	1.69531
1.39172	1.69289
1.39092	1.69209
1.39253	1.68886
1.39011	1.68645
1.39092	1.68725
1.39253	1.68886
1.39011	1.68967
1.39011	1.68967
1.38850	1.68967
1.38527	1.69370
1.38527	1.69692
1.38527	1.69773
1.38769	1.69773
1.38527	1.70176
1.38527	1.70659
1.38689	1.70821
1.38527	1.71062
1.38850	1.71143
1.38769	1.71546
1.38527	1.71546
1.38366	1.72029
1.38447	1.72029
1.38608	1.71949
1.38447	1.72190
1.38366	1.71868
1.38527	1.72110
1.38769	1.71707
1.38850	1.71465
1.38850	1.71304
1.38689	1.71062
1.39011	1.70659
1.39092	1.70337
1.39172	1.69853
1.39172	1.69773
1.39092	1.69451
1.39172	1.68564
1.39253	1.68322
1.39172	1.68000
1.39011	1.67597
1.38769	1.67275
1.38930	1.67194
1.39092	1.67194
1.39253	1.66791
1.39172	1.66791
1.39172	1.66711
1.39253	1.66791
1.39011	1.66952
1.39253	1.66952
1.39092	1.67114
1.39172	1.67194
1.39092	1.67355
1.39172	1.67597
1.39172	1.68081
1.39011	1.68242
1.38850	1.68484
1.38689	1.68967
1.38527	1.69289
1.38689	1.69692
1.38447	1.70015
1.39011	1.69934
1.38689	1.70337
1.38527	1.70821
1.38930	1.70659
1.38447	1.71062
1.38527	1.71062
1.38366	1.70982
1.38286	1.70901
1.38447	1.70659
1.38366	1.70579
1.38447	1.70176
1.38447	1.70176
1.38769	1.69853
1.39092	1.69531
1.39253	1.69370
1.39172	1.68967
1.39495	1.68403
1.39414	1.67919
1.39333	1.67919
1.39253	1.67678
1.39414	1.67436
1.39253	1.67194
1.39253	1.67194
1.39253	1.67114
1.39092	1.67114
1.39011	1.67033
1.39092	1.67114
1.39011	1.67194
1.39253	1.67194
1.39172	1.67436
1.39172	1.67597
1.39092	1.67919
1.38850	1.68242
1.39092	1.68645
1.38850	1.68967
1.38769	1.69531
1.38769	1.69773
1.39011	1.69934
1.39011	1.70337
1.38769	1.70740
1.38769	1.71062
1.38689	1.71062
1.38769	1.71304
1.38850	1.71304
1.38769	1.71465
1.38447	1.71546
1.38366	1.71546
1.38527	1.71546
1.38527	1.71304
1.38366	1.71143
1.38447	1.71062
1.38527	1.70821
1.38527	1.70579
1.39011	1.70095
1.39092	1.69853
1.39092	1.69773
1.39253	1.69289
1.39172	1.68886
1.39253	1.68403
1.39092	1.68000
1.39253	1.67516
1.39011	1.67194
1.39011	1.67033
1.39172	1.66630
1.38850	1.66227
1.39011	1.65744
1.38930	1.65502
1.38850	1.64857
1.39172	1.64777
1.39172	1.64696
1.39172	1.64615
1.39172	1.64615
1.39011	1.64535
1.39253	1.64615
1.38850	1.64615
1.39011	1.64615
1.39172	1.64615
1.39253	1.65018
1.39656	1.65421
1.39253	1.65905
1.39253	1.66711
1.39253	1.67194
1.39333	1.67919
1.39414	1.68564
1.39656	1.69773
1.39817	1.70821
1.40300	1.71788
1.40381	1.72916
1.40462	1.74527
1.40542	1.76542
1.40300	1.77590
1.40542	1.80088
1.40542	1.81377
1.40703	1.83473
1.40623	1.86132
1.40703	1.88952
1.40784	1.91692
1.40784	1.94674
1.40945	1.98059
1.40703	2.01443
1.40864	2.05311
1.40784	2.09421
1.40945	2.13612
1.41106	2.18527
1.40784	2.23040
1.40864	2.28198
1.40945	2.33516
1.40542	2.38513
1.40623	2.43670
1.40542	2.49473
1.40381	2.54791
1.40139	2.61077
1.39656	2.66557
1.39495	2.71875
1.39172	2.77194
1.38769	2.82996
1.38689	2.88234
1.38527	2.93150
1.38689	2.97663
1.38366	3.00000
1.38125	3.00000
1.37963	3.00000
1.38044	3.00000
1.38044	3.00000
1.37963	3.00000
1.37883	3.00000
1.37963	3.00000
1.37883	3.00000
1.37963	3.00000
1.37883	3.00000
1.37802	3.00000
1.37802	3.00000
1.37722	3.00000
1.37963	3.00000
1.37641	3.00000
1.37802	3.00000
1.37883	2.97421
1.37963	2.91297
1.37963	2.84527
1.37883	2.77114
1.37963	2.69136
1.37963	2.61238
1.37963	2.52293
1.38205	2.43267
1.38044	2.34242
1.38044	2.25055
1.38205	2.15304
1.38527	2.06278
1.39011	1.97172
1.38850	1.88388
1.39253	1.80168
1.39333	1.71788
1.39414	1.64374
1.40139	1.56960
1.40059	1.51238
1.40462	1.45516
1.40542	1.40842
1.40864	1.36491
1.41590	1.33187
1.41670	1.30286
1.41670	1.28271
1.41751	1.26740
1.41590	1.25773
1.41509	1.24725
1.41267	1.24322
1.40945	1.24322
1.40623	1.24645
1.40462	1.25209
1.40139	1.25853
1.39736	1.26740
1.39656	1.27546
1.39978	1.28432
1.40623	1.29480
1.41751	1.30286
1.43121	1.31253
1.45216	1.32381
1.47231	1.33429
1.49487	1.34234
1.51099	1.35524
1.52308	1.36330
1.53194	1.37297
1.53275	1.38425
1.52711	1.38828
1.51663	1.40037
1.50454	1.40842
1.49165	1.41407
1.47875	1.41890
1.46264	1.42938
1.44974	1.43905
1.43685	1.44388
1.42396	1.45355
1.41106	1.46081
1.39978	1.46645
1.38447	1.47612
1.37238	1.48418
1.35465	1.49223
1.34095	1.50190
1.32564	1.50916
1.30630	1.51722
1.28857	1.52527
1.26923	1.53333
1.25070	1.54300
1.22813	1.55106
1.21282	1.55832
1.19912	1.56799
1.18623	1.57121
1.18139	1.57685
1.18139	1.58330
1.18462	1.58974
1.19429	1.59297
1.20718	1.59619
1.22410	1.59941
1.24667	1.60344
1.26278	1.60505
1.28212	1.60586
1.29824	1.60747
1.31355	1.60989
1.32645	1.61231
1.33531	1.61473
1.34176	1.61473
1.34982	1.61553
1.35626	1.61875
1.36674	1.61634
1.37722	1.61956
1.39172	1.61956
1.40542	1.62037
1.42315	1.62037
1.44088	1.62198
1.45700	1.62520
1.47070	1.62520
1.48278	1.63245
1.48762	1.63487
1.49568	1.63729
1.49971	1.64132
1.50132	1.64615
1.50615	1.64615
1.50696	1.65099
1.50696	1.65663
1.50293	1.65905
1.49890	1.66227
1.49326	1.66469
1.48278	1.66791
1.47634	1.67194
1.46667	1.67194
1.45700	1.67275
1.44894	1.67678
1.44330	1.67597
1.43604	1.67436
1.43121	1.67516
1.42960	1.67275
1.42315	1.67194
1.41590	1.67194
1.40945	1.67114
1.40784	1.66711
1.40542	1.66308
1.40542	1.66066
1.40542	1.65985
1.40542	1.65905
1.40542	1.65421
1.40462	1.65421
1.39817	1.64857
1.39172	1.64857
1.38366	1.64857
1.37480	1.64938
1.35868	1.64857
1.34821	1.64615
1.33692	1.64696
1.32322	1.65018
1.31275	1.64857
1.30066	1.65179
1.29018	1.65260
1.28374	1.65582
1.27648	1.65905
1.27648	1.66147
1.27648	1.66711
1.27890	1.66952
1.28615	1.67194
1.29179	1.67678
1.30308	1.67678
1.31436	1.68403
1.32806	1.68725
1.34015	1.68967
1.35223	1.69370
1.36593	1.69370
1.37802	1.69692
1.38447	1.69128
1.39333	1.69531
1.40542	1.69370
1.41348	1.69531
1.42073	1.69451
1.42879	1.68967
1.43363	1.68967
1.44088	1.68886
1.44491	1.68564
1.44652	1.68242
1.44974	1.67919
1.44974	1.67597
1.44894	1.67597
1.44894	1.67436
1.44330	1.67194
1.43685	1.67194
1.43121	1.67114
1.42396	1.67194
1.41993	1.66791
1.41026	1.67033
1.40462	1.67033
1.39656	1.67114
1.39253	1.67275
1.38930	1.67275
1.37963	1.67516
1.37480	1.67597
1.37077	1.68161
1.36593	1.68403
1.36513	1.68564
1.36271	1.69209
1.36352	1.69531
1.36271	1.69773
1.36432	1.70095
1.36755	1.70176
1.36593	1.70659
1.36593	1.71062
1.36352	1.70982
1.36513	1.71304
1.36513	1.71143
1.36432	1.71465
1.36432	1.71626
1.36593	1.71546
